timestamp,pavilion_name,wait_time_raw,post_time_raw
2025-08-01T22:35:41.362730+09:00,未来の都市,情報なし,情報なし
2025-08-01T22:35:41.362734+09:00,BLUE  OCEAN  DOME,予約のみ,予約のみ
2025-08-01T22:35:41.362738+09:00,GUNDAMNEXT  FUTURE  PAVILION,予約のみ,予約のみ
2025-08-01T22:35:41.362742+09:00,ORA外食パビリオン  「宴～UTAGE～」,情報なし,情報なし
2025-08-01T22:35:41.362747+09:00,PASONA  NATUREVERSE,0時間15分,60分以上前
2025-08-01T22:35:41.362751+09:00,TECH WORLD,1時間20分,60分以上前
2025-08-01T22:35:41.362755+09:00,ガスパビリオン  おばけワンダーランド,情報なし,情報なし
2025-08-01T22:35:41.362762+09:00,よしもと  waraii myraii館,情報なし,情報なし
2025-08-01T22:35:41.362766+09:00,飯田グループ ×大阪公立大学 共同出展館,0時間20分,60分以上前
2025-08-01T22:35:41.362770+09:00,NTT Pavilion,予約のみ,予約のみ
2025-08-01T22:35:41.362775+09:00,ウーマンズパビリオン  in collaboration  with Cartier,0時間40分,60分以上前
2025-08-01T22:35:41.362779+09:00,パナソニック グループパビリオン 「ノモの国」,予約のみ,予約のみ
2025-08-01T22:35:41.362784+09:00,関西パビリオン,予約のみ,予約のみ
2025-08-01T22:35:41.362788+09:00,三菱未来館,0時間30分,60分以上前
2025-08-01T22:35:41.362792+09:00,住友館,0時間30分,60分以上前
2025-08-01T22:35:41.362796+09:00,大阪ヘルスケア パビリオン,情報なし,情報なし
2025-08-01T22:35:41.362800+09:00,電力館 可能性の タマゴたち,予約のみ,予約のみ
2025-08-01T22:35:41.362804+09:00,日本館,1時間00分,60分以上前
2025-08-01T23:19:25.562637+09:00,アメリカ（米国）,0時間30分,60分以上前
2025-08-01T23:19:25.562665+09:00,アラブ首長国連邦,0時間10分以下,60分以上前
2025-08-01T23:19:25.562672+09:00,オーストリア,0時間30分,60分以上前
2025-08-01T23:19:25.562679+09:00,カタール,0時間10分以下,60分以上前
2025-08-01T23:19:25.562684+09:00,カナダ,0時間40分,60分以上前
2025-08-01T23:19:25.562690+09:00,クウェート,0時間40分,60分以上前
2025-08-01T23:19:25.562694+09:00,コモンズ-A,0時間10分以下,60分以上前
2025-08-01T23:19:25.562705+09:00,コロンビア,0時間15分,60分以上前
2025-08-01T23:19:25.562711+09:00,スイス,0時間50分,60分以上前
2025-08-01T23:19:25.562717+09:00,チェコ,0時間20分,60分以上前
2025-08-01T23:19:25.562721+09:00,トルクメニスタン,0時間20分,60分以上前
2025-08-01T23:19:25.562725+09:00,バーレーン,0時間20分,60分以上前
2025-08-01T23:19:25.562730+09:00,フィリピン,0時間30分,60分以上前
2025-08-01T23:19:25.562734+09:00,ブラジル,0時間20分,60分以上前
2025-08-01T23:19:25.562738+09:00,フランス,0時間20分,60分以上前
2025-08-01T23:19:25.562742+09:00,ベトナム,0時間10分以下,60分以上前
2025-08-01T23:19:25.562746+09:00,ペルー,0時間20分,60分以上前
2025-08-01T23:19:25.562750+09:00,ポルトガル,0時間10分以下,60分以上前
2025-08-01T23:19:25.562754+09:00,マルタ,0時間20分,60分以上前
2025-08-01T23:19:25.562758+09:00,マレーシア,0時間20分,60分以上前
2025-08-01T23:19:25.562762+09:00,ミャクミャクハウス,情報なし,情報なし
2025-08-01T23:19:25.562769+09:00,モザンビーク,0時間10分以下,60分以上前
2025-08-01T23:19:25.562773+09:00,ヨルダン,情報なし,情報なし
